trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-148.0271840183365,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-66.81012335598133,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-283.7936472591811,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-300.00036862306945,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-82.981658560828,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-109.97969635110815,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-55.27735421804325,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-9.631031861036949,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-51.89788303520296,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-51.888894560538205,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-21.316306699455208,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-29.021537078846933,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-159.81786830315679,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,-88.14711024770382,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-112.93722270316218,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-64.95179609345305,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-21.32737649402637,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-75.9066401442786,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,-16.645298475791968,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-36.388202811093215,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,31.749585486928257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,18,1.6133278186893232,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,11,-29.188254479119347,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-62.77116204989009,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,31.862720509713387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,1,-20.185082143810686,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-35.974393680224004,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-39.64346704008373,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-46.53637412181875,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,-10.506921907508971,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
