trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-148.57163119868974,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",35,0,-282.3424157485379,"{0: 15, 1: 6, 2: 9, 3: 1, 4: 4}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-103.98793186214584,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-80.215125823866,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-73.41965422176291,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-128.0859623078944,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-162.27324231276003,"{0: 11, 1: 8, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,6,-110.20885561232961,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 1}",1
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-84.0246066242092,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-133.73667736069527,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-201.99237039509902,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,7,-113.56857504858179,"{0: 4, 1: 6, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,6,-112.23639592713425,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
