trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,13,-53.86681964986937,"{0: 5, 1: 3, 2: 3, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.80257654163672,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.73181118305908,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.87216080071397,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.3499142622179,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.47182419269936,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.34932597481598,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.8329513282833,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.37902621544401,"{0: 26, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.83390981136664,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.638726893206,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.37693875314262,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.15127692819829,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,16,-49.783570567621034,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.97405078290973,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.34639500193487,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-341.98005787633315,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-117.56179418271289,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.82998186067921,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-255.2488704191535,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,1,-213.75366441826458,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.9990778543124,"{0: 18, 1: 0, 2: 7, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.28129708434628,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.21457076811663,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,4,-108.92387288526034,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.36126709236345,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.90359954243473,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.50835984197438,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.9831794932869,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-195.8833172133241,"{0: 14, 1: 8, 2: 3, 3: 3, 4: 2}",0
